group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,30,end,656,4,0.6097560975609756
High-Risk,31,overall,431,80,18.561484918793504
High-Risk,31,end,6,0,0
High-Risk,32,overall,65569,16547,25.236010919794417
High-Risk,32,end,711,11,1.5471167369901548
High-Risk,33,overall,1220,310,25.40983606557377
High-Risk,33,end,13,3,23.076923076923077
High-Risk,34,overall,901,190,21.08768035516093
High-Risk,34,end,14,0,0
High-Risk,35,overall,86,21,24.418604651162788
High-Risk,35,end,5,0,0
High-Risk,36,overall,270,53,19.62962962962963
High-Risk,36,end,6,0,0
High-Risk,37,overall,328,71,21.646341463414632
High-Risk,37,end,6,1,16.666666666666664
High-Risk,38,overall,402,84,20.8955223880597
High-Risk,38,end,3,0,0
High-Risk,39,overall,2077,498,23.976889744824266
High-Risk,39,end,14,0,0
High-Risk,40,overall,19793,4321,21.830950335977366
High-Risk,40,end,196,2,1.0204081632653061
High-Risk,41,overall,3125,749,23.968
High-Risk,41,end,49,0,0
High-Risk,42,overall,5,1,20
High-Risk,42,end,1,0,0
High-Risk,43,overall,968,248,25.6198347107438
High-Risk,43,end,8,0,0
High-Risk,44,overall,964,209,21.680497925311204
High-Risk,44,end,23,1,4.3478260869565215
High-Risk,45,overall,130,28,21.53846153846154
High-Risk,45,end,4,0,0
High-Risk,46,overall,1063,237,22.295390404515523
High-Risk,46,end,40,3,7.5
High-Risk,47,overall,700,162,23.142857142857142
High-Risk,47,end,16,0,0
High-Risk,48,overall,450,125,27.77777777777778
High-Risk,48,end,8,1,12.5
High-Risk,49,overall,362,96,26.519337016574585
High-Risk,49,end,3,0,0
High-Risk,50,overall,70022,17339,24.762217588757817
High-Risk,50,end,1124,4,0.3558718861209964
High-Risk,51,overall,384,105,27.34375
High-Risk,51,end,3,0,0
High-Risk,52,overall,1140,252,22.105263157894736
High-Risk,52,end,33,5,15.151515151515152
High-Risk,53,overall,211,44,20.85308056872038
High-Risk,53,end,2,0,0
High-Risk,54,overall,75,24,32
High-Risk,54,end,1,0,0
High-Risk,55,overall,3846,863,22.438897555902237
High-Risk,55,end,40,5,12.5
High-Risk,56,overall,6785,1724,25.408990420044216
High-Risk,56,end,59,9,15.254237288135593
High-Risk,57,overall,13274,3225,24.29561548892572
High-Risk,57,end,65,1,1.5384615384615385
High-Risk,58,overall,257,56,21.78988326848249
High-Risk,58,end,10,0,0
High-Risk,59,overall,424,107,25.235849056603776
High-Risk,59,end,6,0,0
High-Risk,60,overall,3544,746,21.049661399548533
High-Risk,60,end,49,2,4.081632653061225
High-Risk,61,overall,17850,3950,22.128851540616246
High-Risk,61,end,477,0,0
High-Risk,62,overall,4107,992,24.153883613343073
High-Risk,62,end,65,19,29.230769230769234
High-Risk,63,overall,37121,8181,22.038738180544705
High-Risk,63,end,259,2,0.7722007722007722
High-Risk,64,overall,42683,9878,23.1427031839374
High-Risk,64,end,205,42,20.48780487804878
High-Risk,65,overall,36,3,8.333333333333332
High-Risk,65,end,2,0,0
High-Risk,66,overall,3791,819,21.60379847006067
High-Risk,66,end,51,2,3.9215686274509802
High-Risk,67,overall,70,13,18.571428571428573
High-Risk,67,end,2,0,0
High-Risk,68,overall,196,39,19.897959183673468
High-Risk,68,end,2,0,0
High-Risk,69,overall,2092,485,23.183556405353727
High-Risk,69,end,17,0,0
High-Risk,70,overall,5,1,20
High-Risk,70,end,1,0,0
High-Risk,71,overall,5,1,20
High-Risk,71,end,2,0,0
High-Risk,72,overall,56895,14280,25.098866332718167
High-Risk,72,end,267,10,3.7453183520599254
High-Risk,73,overall,3656,811,22.182713347921226
High-Risk,73,end,66,2,3.0303030303030303
High-Risk,74,overall,19164,4771,24.89563765393446
High-Risk,74,end,170,4,2.3529411764705883
High-Risk,75,overall,1200,273,22.75
High-Risk,75,end,20,0,0
High-Risk,76,overall,57017,14678,25.74319939667117
High-Risk,76,end,508,20,3.937007874015748
High-Risk,77,overall,57,12,21.052631578947366
High-Risk,77,end,1,0,0
High-Risk,78,overall,29256,7364,25.170905113480995
High-Risk,78,end,1051,35,3.3301617507136063
High-Risk,79,overall,117,23,19.65811965811966
High-Risk,79,end,2,0,0
High-Risk,80,overall,361,89,24.653739612188367
High-Risk,80,end,7,1,14.285714285714285
High-Risk,81,overall,12449,2483,19.945377138726002
High-Risk,81,end,108,2,1.8518518518518516
High-Risk,82,overall,7864,1702,21.64292980671414
High-Risk,82,end,103,7,6.796116504854369
High-Risk,83,overall,3750,716,19.093333333333334
High-Risk,83,end,33,1,3.0303030303030303
High-Risk,84,overall,6,0,0
High-Risk,84,end,1,0,0
High-Risk,85,overall,85,16,18.823529411764707
High-Risk,85,end,3,0,0
High-Risk,86,overall,10772,2546,23.63535090976606
High-Risk,86,end,192,0,0
High-Risk,87,overall,536,119,22.201492537313435
High-Risk,87,end,8,2,25
High-Risk,88,overall,504,98,19.444444444444446
High-Risk,88,end,4,0,0
High-Risk,89,overall,14,5,35.714285714285715
High-Risk,89,end,3,0,0
High-Risk,90,overall,19005,4020,21.152328334648775
High-Risk,90,end,264,6,2.272727272727273
High-Risk,91,overall,26606,5895,22.156656393294746
High-Risk,91,end,126,2,1.5873015873015872
High-Risk,92,overall,2454,625,25.468622656886712
High-Risk,92,end,26,0,0
High-Risk,93,overall,612,143,23.366013071895424
High-Risk,93,end,2,0,0
High-Risk,94,overall,125,27,21.6
High-Risk,94,end,7,0,0
High-Risk,95,overall,121,25,20.66115702479339
High-Risk,95,end,3,1,33.33333333333333
High-Risk,96,overall,20470,4232,20.674157303370784
High-Risk,96,end,179,13,7.262569832402235
High-Risk,97,overall,2294,546,23.801220575414124
High-Risk,97,end,13,0,0
High-Risk,98,overall,3814,931,24.410068169900367
High-Risk,98,end,87,2,2.2988505747126435
High-Risk,99,overall,691,144,20.839363241678726
High-Risk,99,end,13,0,0
High-Risk,100,overall,781,207,26.504481434058896
High-Risk,100,end,14,0,0
High-Risk,101,overall,442,108,24.43438914027149
High-Risk,101,end,10,1,10
High-Risk,102,overall,1579,348,22.039265357821407
High-Risk,102,end,23,0,0
High-Risk,103,overall,13112,3173,24.19920683343502
High-Risk,103,end,108,4,3.7037037037037033
High-Risk,104,overall,19,5,26.31578947368421
High-Risk,104,end,1,0,0
High-Risk,105,overall,32210,7461,23.163613784538963
High-Risk,105,end,378,2,0.5291005291005291
High-Risk,106,overall,360,82,22.77777777777778
High-Risk,106,end,11,2,18.181818181818183
High-Risk,107,overall,12571,2852,22.687137061490734
High-Risk,107,end,186,30,16.129032258064516
High-Risk,108,overall,2276,587,25.7908611599297
High-Risk,108,end,21,0,0
High-Risk,109,overall,2082,532,25.552353506243996
High-Risk,109,end,16,0,0
High-Risk,110,overall,909,226,24.86248624862486
High-Risk,110,end,7,0,0
High-Risk,111,overall,340,80,23.52941176470588
High-Risk,111,end,5,0,0
High-Risk,112,overall,3962,921,23.245835436648157
High-Risk,112,end,38,1,2.631578947368421
High-Risk,113,overall,15409,3084,20.014277370367967
High-Risk,113,end,173,13,7.514450867052023
High-Risk,114,overall,55041,13924,25.297505495903057
High-Risk,114,end,641,3,0.46801872074883
High-Risk,115,overall,173,32,18.497109826589593
High-Risk,115,end,3,0,0
High-Risk,116,overall,2194,493,22.470373746581586
High-Risk,116,end,76,5,6.578947368421052
High-Risk,117,overall,103,28,27.184466019417474
High-Risk,117,end,4,0,0
High-Risk,118,overall,191,36,18.848167539267017
High-Risk,118,end,3,0,0
High-Risk,119,overall,260,76,29.230769230769234
High-Risk,119,end,2,0,0
High-Risk,120,overall,5123,934,18.231504977552216
High-Risk,120,end,95,1,1.0526315789473684
High-Risk,121,overall,681,127,18.64904552129222
High-Risk,121,end,19,0,0
High-Risk,122,overall,484,103,21.280991735537192
High-Risk,122,end,5,2,40
High-Risk,123,overall,46088,11407,24.750477347682693
High-Risk,123,end,421,5,1.187648456057007
High-Risk,124,overall,8292,1933,23.311625663289917
High-Risk,124,end,122,0,0
High-Risk,125,overall,37,8,21.62162162162162
High-Risk,125,end,2,0,0
High-Risk,126,overall,1582,377,23.830594184576487
High-Risk,126,end,6,0,0
High-Risk,127,overall,1149,249,21.671018276762403
High-Risk,127,end,40,0,0
High-Risk,128,overall,8202,1858,22.65301146061936
High-Risk,128,end,115,6,5.217391304347826
High-Risk,129,overall,53,10,18.867924528301888
High-Risk,129,end,1,0,0
High-Risk,130,overall,445,112,25.168539325842698
High-Risk,130,end,3,0,0
High-Risk,131,overall,1120,200,17.857142857142858
High-Risk,131,end,12,1,8.333333333333332
High-Risk,132,overall,14342,3152,21.977409008506484
High-Risk,132,end,155,8,5.161290322580645
High-Risk,133,overall,127,25,19.68503937007874
High-Risk,133,end,3,0,0
High-Risk,134,overall,58,14,24.137931034482758
High-Risk,134,end,2,0,0
High-Risk,135,overall,46399,11110,23.94448156210263
High-Risk,135,end,486,2,0.411522633744856
High-Risk,136,overall,18,1,5.555555555555555
High-Risk,136,end,1,0,0
High-Risk,137,overall,31,3,9.67741935483871
High-Risk,137,end,2,0,0
High-Risk,138,overall,56,6,10.714285714285714
High-Risk,138,end,3,0,0
High-Risk,139,overall,157,45,28.662420382165603
High-Risk,139,end,1,0,0
High-Risk,140,overall,78,11,14.102564102564102
High-Risk,140,end,2,0,0
High-Risk,141,overall,19208,4754,24.750104123281965
High-Risk,141,end,48,3,6.25
High-Risk,142,overall,148,16,10.81081081081081
High-Risk,142,end,1,0,0
High-Risk,143,overall,5994,1370,22.85618952285619
High-Risk,143,end,32,1,3.125
High-Risk,144,overall,29,4,13.793103448275861
High-Risk,144,end,1,0,0
High-Risk,145,overall,8424,2015,23.919753086419753
High-Risk,145,end,91,0,0
High-Risk,146,overall,35,9,25.71428571428571
High-Risk,146,end,1,0,0
High-Risk,147,overall,6971,1484,21.28819394634916
High-Risk,147,end,84,1,1.1904761904761905
High-Risk,148,overall,2107,504,23.920265780730897
High-Risk,148,end,67,0,0
High-Risk,149,overall,3838,846,22.042730588848357
High-Risk,149,end,40,0,0
High-Risk,150,overall,17721,4539,25.613678686304386
High-Risk,150,end,253,21,8.300395256916996
High-Risk,151,overall,7344,1638,22.30392156862745
High-Risk,151,end,42,1,2.380952380952381
High-Risk,152,overall,65,11,16.923076923076923
High-Risk,152,end,1,0,0
High-Risk,153,overall,13901,3008,21.638731026544853
High-Risk,153,end,59,0,0
High-Risk,154,overall,489,118,24.130879345603272
High-Risk,154,end,4,0,0
High-Risk,155,overall,7,3,42.857142857142854
High-Risk,155,end,1,0,0
High-Risk,156,overall,609,145,23.809523809523807
High-Risk,156,end,9,0,0
High-Risk,157,overall,810,187,23.08641975308642
High-Risk,157,end,6,0,0
High-Risk,158,overall,4399,1161,26.392361900431915
High-Risk,158,end,40,4,10
High-Risk,159,overall,13474,3091,22.94047795754787
High-Risk,159,end,129,5,3.875968992248062
High-Risk,160,overall,210,49,23.333333333333332
High-Risk,160,end,1,0,0
High-Risk,161,overall,45863,10979,23.938686958986548
High-Risk,161,end,479,2,0.41753653444676403
High-Risk,162,overall,5675,1277,22.502202643171806
High-Risk,162,end,47,1,2.127659574468085
High-Risk,163,overall,976,163,16.700819672131146
High-Risk,163,end,11,0,0
High-Risk,164,overall,93,12,12.903225806451612
High-Risk,164,end,1,0,0
High-Risk,165,overall,348,82,23.563218390804597
High-Risk,165,end,7,1,14.285714285714285
High-Risk,166,overall,48,7,14.583333333333334
High-Risk,166,end,2,0,0
High-Risk,167,overall,3817,1002,26.250982446947862
High-Risk,167,end,64,1,1.5625
High-Risk,168,overall,36,10,27.77777777777778
High-Risk,168,end,2,0,0
High-Risk,169,overall,110,22,20
High-Risk,169,end,4,0,0
High-Risk,170,overall,2530,587,23.201581027667984
High-Risk,170,end,56,1,1.7857142857142856
High-Risk,171,overall,2283,477,20.893561103810775
High-Risk,171,end,33,1,3.0303030303030303
High-Risk,172,overall,1976,456,23.076923076923077
High-Risk,172,end,22,3,13.636363636363635
High-Risk,173,overall,477,121,25.366876310272534
High-Risk,173,end,4,0,0
High-Risk,174,overall,66,20,30.303030303030305
High-Risk,174,end,2,0,0
High-Risk,175,overall,9759,2094,21.45711650783892
High-Risk,175,end,115,10,8.695652173913043
High-Risk,176,overall,34,5,14.705882352941178
High-Risk,176,end,1,0,0
High-Risk,177,overall,25230,6293,24.942528735632184
High-Risk,177,end,346,26,7.514450867052023
High-Risk,178,overall,1034,193,18.665377176015475
High-Risk,178,end,12,0,0
High-Risk,179,overall,6,2,33.33333333333333
High-Risk,179,end,2,0,0
High-Risk,180,overall,255,50,19.607843137254903
High-Risk,180,end,6,0,0
High-Risk,181,overall,732,163,22.26775956284153
High-Risk,181,end,1,0,0
High-Risk,182,overall,736,169,22.96195652173913
High-Risk,182,end,27,0,0
High-Risk,183,overall,85,22,25.882352941176475
High-Risk,183,end,2,0,0
High-Risk,184,overall,484,109,22.520661157024794
High-Risk,184,end,8,0,0
High-Risk,185,overall,72,15,20.833333333333336
High-Risk,185,end,1,0,0
High-Risk,186,overall,3635,812,22.33837689133425
High-Risk,186,end,42,0,0
High-Risk,187,overall,3115,737,23.65971107544141
High-Risk,187,end,83,2,2.4096385542168677
High-Risk,188,overall,5632,1357,24.094460227272727
High-Risk,188,end,55,1,1.8181818181818181
High-Risk,189,overall,289,50,17.301038062283737
High-Risk,189,end,3,0,0
High-Risk,190,overall,4103,989,24.104313916646355
High-Risk,190,end,62,2,3.225806451612903
High-Risk,191,overall,1686,377,22.36061684460261
High-Risk,191,end,18,0,0
High-Risk,192,overall,1996,442,22.14428857715431
High-Risk,192,end,19,2,10.526315789473683
High-Risk,193,overall,6398,1580,24.69521725539231
High-Risk,193,end,48,0,0
High-Risk,194,overall,449,91,20.26726057906459
High-Risk,194,end,16,0,0
High-Risk,195,overall,1198,286,23.87312186978297
High-Risk,195,end,15,0,0
High-Risk,196,overall,1020,229,22.450980392156865
High-Risk,196,end,31,0,0
High-Risk,197,overall,569,144,25.30755711775044
High-Risk,197,end,1,0,0
High-Risk,198,overall,15966,3783,23.694099962420143
